Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price
CADE,CADENCE BANK,Financials,Equity,"1,427,542.20",0.01,"1,427,542.20","38,190.00",37.38
CAG,CONAGRA BRANDS INC,Consumer Staples,Equity,"2,173,023.06",0.01,"2,173,023.06","124,743.00",17.42
CAH,CARDINAL HEALTH INC,Health Care,Equity,"12,149,190.48",0.07,"12,149,190.48","63,997.00",189.84
CAKE,CHEESECAKE FACTORY INC,Consumer Discretionary,Equity,"563,635.47",0.00,"563,635.47","11,477.00",49.11
CAL,CALERES INC,Consumer Discretionary,Equity,"115,795.08",0.00,"115,795.08","10,546.00",10.98
CALM,CAL MAINE FOODS INC,Consumer Staples,Equity,"1,001,784.84",0.01,"1,001,784.84","11,532.00",86.87
CALX,CALIX NETWORKS INC,Information Technology,Equity,"975,829.68",0.01,"975,829.68","14,342.00",68.04
CAPR,CAPRICOR THERAPEUTICS INC,Health Care,Equity,"44,904.51",0.00,"44,904.51","7,231.00",6.21
CAR,AVIS BUDGET GROUP INC,Industrials,Equity,"559,272.96",0.00,"559,272.96","4,122.00",135.68
CARE,CARTER BANKSHARES INC,Financials,Equity,"141,337.69",0.00,"141,337.69","8,203.00",17.23
CARG,CARGURUS INC CLASS A,Communication,Equity,"868,707.70",0.01,"868,707.70","25,438.00",34.15
CARR,CARRIER GLOBAL CORP,Industrials,Equity,"12,324,190.45",0.07,"12,324,190.45","209,417.00",58.85
CARS,CARS.COM INC,Communication,Equity,"196,560.86",0.00,"196,560.86","18,526.00",10.61
CART,MAPLEBEAR INC,Consumer Staples,Equity,"1,662,444.00",0.01,"1,662,444.00","45,360.00",36.65
CASH,PATHWARD FINANCIAL INC,Financials,Equity,"449,339.21",0.00,"449,339.21","6,553.00",68.57
CASS,CASS INFORMATION SYSTEMS INC,Financials,Equity,"132,680.50",0.00,"132,680.50","3,359.00",39.50
CASY,CASEYS GENERAL STORES INC,Consumer Staples,Equity,"5,111,767.32",0.03,"5,111,767.32","9,858.00",518.54
CAT,CATERPILLAR INC,Industrials,Equity,"71,351,318.25",0.41,"71,351,318.25","122,355.00",583.15
CATX,PERSPECTIVE THERAPEUTICS INC,Health Care,Equity,"38,499.12",0.00,"38,499.12","14,583.00",2.64
CATY,CATHAY GENERAL BANCORP,Financials,Equity,"798,004.31",0.00,"798,004.31","17,527.00",45.53
CAVA,CAVA GROUP INC,Consumer Discretionary,Equity,"1,411,719.30",0.01,"1,411,719.30","26,289.00",53.70
CB,CHUBB LTD,Financials,Equity,"27,263,504.94",0.16,"27,263,504.94","98,049.00",278.06
CBAN,COLONY BANKCORP INC,Financials,Equity,"36,662.90",0.00,"36,662.90","2,290.00",16.01
CBL,CBL ASSOCIATES PROPERTIES INC,Real Estate,Equity,"259,420.80",0.00,"259,420.80","8,860.00",29.28
CBLL,CERIBELL INC,Health Care,Equity,"90,593.96",0.00,"90,593.96","8,003.00",11.32
CBOE,CBOE GLOBAL MARKETS INC,Financials,Equity,"6,652,940.14",0.04,"6,652,940.14","28,094.00",236.81
CBRE,CBRE GROUP INC CLASS A,Real Estate,Equity,"11,976,791.04",0.07,"11,976,791.04","78,336.00",152.89
CBRL,CRACKER BARREL OLD COUNTRY STORE I,Consumer Discretionary,Equity,"191,878.26",0.00,"191,878.26","5,726.00",33.51
CBSH,COMMERCE BANCSHARES INC,Financials,Equity,"1,726,386.93",0.01,"1,726,386.93","33,003.00",52.31
CBT,CABOT CORP,Materials,Equity,"940,975.68",0.01,"940,975.68","13,928.00",67.56
CBU,COMMUNITY FINANCIAL SYSTEM INC,Financials,Equity,"780,774.75",0.00,"780,774.75","13,925.00",56.07
CBZ,CBIZ INC,Industrials,Equity,"708,969.24",0.00,"708,969.24","13,397.00",52.92
CC,CHEMOURS,Materials,Equity,"495,568.64",0.00,"495,568.64","37,772.00",13.12
CCB,COASTAL FINANCIAL CORP,Financials,Equity,"288,303.62",0.00,"288,303.62","2,761.00",104.42
CCBG,CAPITAL CITY BANK INC,Financials,Equity,"176,596.00",0.00,"176,596.00","4,505.00",39.20
CCCS,CCC INTELLIGENT SOLUTIONS HOLDINGS,Information Technology,Equity,"1,264,235.00",0.01,"1,264,235.00","144,484.00",8.75
CCI,CROWN CASTLE INC,Real Estate,Equity,"10,466,185.20",0.06,"10,466,185.20","114,610.00",91.32
CCK,CROWN HOLDINGS INC,Materials,Equity,"2,963,744.07",0.02,"2,963,744.07","30,837.00",96.11
CCL,CARNIVAL CORP,Consumer Discretionary,Equity,"8,067,024.16",0.05,"8,067,024.16","284,752.00",28.33
CCNE,CNB FINANCIAL CORP,Financials,Equity,"120,879.00",0.00,"120,879.00","4,995.00",24.20
CCOI,COGENT COMMUNICATIONS HOLDINGS INC,Communication,Equity,"458,434.21",0.00,"458,434.21","11,401.00",40.21
CCRN,CROSS COUNTRY HEALTHCARE INC,Health Care,Equity,"143,445.50",0.00,"143,445.50","11,855.00",12.10
CCS,CENTURY COMMUNITIES INC,Consumer Discretionary,Equity,"426,997.01",0.00,"426,997.01","7,073.00",60.37
CCSI,CONSENSUS CLOUD SOLUTIONS INC,Information Technology,Equity,"157,080.12",0.00,"157,080.12","5,606.00",28.02
CDE,COEUR MINING INC,Materials,Equity,"2,906,322.30",0.02,"2,906,322.30","164,199.00",17.70
CDNA,CAREDX INC,Health Care,Equity,"183,986.05",0.00,"183,986.05","12,715.00",14.47
